trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.3, 'e': 0.1755204006169969}",30,0,-78.0439232230127,"{0: 24, 1: 0, 2: 3, 3: 2, 4: 1}",0
59,False,"{'a': 0.3, 'e': 0.17033298882540943}",25,0,12.228616227371248,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
60,False,"{'a': 0.3, 'e': 0.1652988882215866}",30,3,-5.765885272135407,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.3, 'e': 0.1604135677751728}",30,3,-38.56064368232275,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 1}",1
62,False,"{'a': 0.3, 'e': 0.15567263036799733}",20,16,8.321604023601484,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.3, 'e': 0.15107180883637086}",30,20,-23.785834360812835,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.3, 'e': 0.14660696213035015}",20,7,-9.374076265690814,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
65,False,"{'a': 0.3, 'e': 0.1422740715865136}",25,10,-71.99972381372426,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
66,False,"{'a': 0.3, 'e': 0.13806923731089282}",25,0,-12.624675441740381,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
67,False,"{'a': 0.3, 'e': 0.13398867466880499}",25,17,2.0102647431870966,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.3, 'e': 0.1300287108784259}",20,11,1.0396932770538223,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.3, 'e': 0.12618578170503877}",30,5,15.67395335858921,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
70,False,"{'a': 0.3, 'e': 0.12245642825298189}",20,0,-71.79949443907624,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
71,False,"{'a': 0.3, 'e': 0.11883729385240964}",30,21,18.657775968202635,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.3, 'e': 0.11532512103806251}",20,12,-7.467271499737596,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.3, 'e': 0.11191674861732889}",35,20,-30.68214005130996,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
74,False,"{'a': 0.3, 'e': 0.10860910882495801}",30,12,34.6307386863276,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.3, 'e': 0.10539922456186433}",20,15,-5.334798995456419,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.3, 'e': 0.10228420671553748}",25,17,11.26715978666575,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.3, 'e': 0.09926125155964564}",35,17,18.1438508002359,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.3, 'e': 0.09632763823049303}",30,7,19.92323277499096,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
